ParticipantID,E,mean_peak_Fmtu_EMA,mean_lin_strain_impulse,mean_peak_lin_strain,mean_lin_strain,mean_peak_Fr
GJ03,7.9134296308396,0.251096943741136,2.9042619332347,9.08614279911546,2.67449697855258,1115.83493317997
GP04,8.7036313451738,0.259880539510075,1.74902745894541,5.59363049248669,1.60230417675168,850.072857097251
DF07,NaN,NaN,NaN,NaN,NaN,NaN
OJ08,5.07561419570309,0.333708357946938,2.29822029616391,6.76692399535444,2.10975782735561,974.114688707879
RL10,7.30521508159052,0.294168618738069,1.86948706194407,6.05514809297715,1.57815909610819,797.36641077851
SS11,8.13274539845588,0.272705460210725,1.47833767817717,4.3328358458569,1.28240785506304,640.821942809233
BO11,10.3401602702055,0.237759378046356,1.43893580954892,4.35834837400761,1.21152878716349,867.479376126465
SE15,5.38807930966568,0.252874004510942,2.53229475879524,7.53890240348606,1.80329081315276,692.410608875379
