ParticipantID,E,mean_peak_Fmtu_EMA,mean_lin_strain_impulse,mean_peak_lin_strain,mean_lin_strain,mean_peak_Fr
GJ03,9.27769198338772,1.71401670736524,0.406094591187195,2.29079227183122,0.982983158313815,417.257154024415
GP04,10.4949829505008,0.315895407798332,1.04602791481494,3.80908768144702,1.03971795754294,930.212717010935
DF07,8.17609019514224,0.273656117910889,1.8778634975775,6.70978644245152,1.86998951888112,977.03284233663
OJ08,5.2341814699178,0.374250288921846,2.11665016326792,7.10434061614928,1.82384660557578,1067.40194828046
RL10,8.6127979101599,0.315487504204081,1.44698109649847,4.90060549589919,1.28608732210792,860.320091591296
SS11,6.96129108961422,0.304662032406297,1.50165829738336,4.81689092197465,1.30449265248258,653.290672429538
BO11,NaN,NaN,NaN,NaN,NaN,NaN
SE15,4.93322463049463,0.300254630639609,2.06522548822695,8.24521557415558,1.91647915181033,670.875974559274
