ParticipantID,E,mean_peak_Fmtu_EMA,mean_lin_strain_impulse,mean_peak_lin_strain,mean_lin_strain,mean_peak_Fr
GJ03,9.27769198338772,1.90131002181395,0.560712076616971,2.40311281363013,1.27243779956862,465.974626137338
GP04,10.4949829505008,0.294300546431201,1.41907754875517,4.83632823422511,1.31631754443395,897.847744263792
DF07,NaN,NaN,NaN,NaN,NaN,NaN
OJ08,5.2341814699178,0.338575930940423,2.82121056421299,7.60187032149281,2.42402152271907,959.326030442448
RL10,8.6127979101599,0.27446702193474,1.89231605541084,6.15495769095322,1.6273373461632,846.897952089965
SS11,6.96129108961422,0.292555500982613,1.89452368470525,5.08172783961852,1.55022783114447,626.325184642421
BO11,NaN,NaN,NaN,NaN,NaN,NaN
SE15,4.93322463049463,0.279442642535719,2.431227143862,8.87890266073673,2.24793427395622,666.150078263411
